İlçe,Nüfus
Batman(Hasankeyf)-1941,7319
Batman(Kozluk)-1487,60128
Batman(Merkez)-1174,487000
Batman(Sason)-1607,29473
Bayburt(Aydıntepe)-1767,6119
Bayburt(Demirözü)-1788,7900
Bayburt(Merkez)-1176,70222
Bilecik(Bozüyük)-1210,79538
Bilecik(Gölpazarı)-1359,9444
Bilecik(İnhisar)-1948,2099
Bilecik(Merkez)-1192,84243
Bilecik(Osmaneli)-1559,21874
Bilecik(Pazaryeri)-1571,9982
Bilecik(Söğüt)-1636,18693
Bilecik(Yenipazar)-1857,2800
Bingöl(Adaklı)-1750,8041
Bingöl(Genç)-1344,32757
Bingöl(Karlıova)-1446,27083
Bingöl(Kiğı)-1475,4684
Bingöl(Merkez)-1193,171752
Bingöl(Solhan)-1633,33491
Bingöl(Yayladere)-1855,1953
Bingöl(Yedisu)-1996,2795
Bitlis(Adilcevaz)-1106,29541
Bitlis(Ahlat)-1112,42810
Bitlis(Güroymak)-1798,48576
Bitlis(Hizan)-1394,31833
Bitlis(Merkez)-1196,72120
Bitlis(Mutki)-1537,29910
Bitlis(Tatvan)-1669,99198
Bolu(Dörtdivan)-1916,6418
Bolu(Gerede)-1346,34257
Bolu(Göynük)-1364,14434
Bolu(Kıbrıscık)-1466,2932
Bolu(Mengen)-1522,13578
Bolu(Merkez)-1199,219476
Bolu(Mudurnu)-1531,18456
Bolu(Seben)-1610,4648
Bolu(Yeniçağa)-1997,6625
Burdur(Ağlasun)-1109,7408
Burdur(Altınyayla)-1874,5197
Burdur(Bucak)-1211,66894
Burdur(Çavdır)-1899,12530
Burdur(Çeltikçi)-1903,4898
Burdur(Gölhisar)-1357,23626
Burdur(Karamanlı)-1813,8150
Burdur(Kemer)-1816,2903
Burdur(Merkez)-1215,117097
Burdur(Tefenni)-1672,10593
Burdur(Yeşilova)-1728,14503
Bursa(Büyükorhan)-1783,8940
Bursa(Gemlik)-1343,120245
Bursa(Gürsu)-1935,102601
Bursa(Harmancık)-1799,5979
Bursa(İnegöl)-1411,294485
Bursa(İznik)-1420,44236
Bursa(Karacabey)-1434,84907
Bursa(Keles)-1457,10955
Bursa(Kestel)-1960,74109
Bursa(Mudanya)-1530,108011
Bursa(Mustafakemalpaşa)-1535,102284
Bursa(Nilüfer)-1829,536365
Bursa(Orhaneli)-1553,18543
Bursa(Orhangazi)-1554,81110
Bursa(Osmangazi)-1832,891250
Bursa(Yenişehir)-1725,54844
Bursa(Yıldırım)-1859,655856
Çanakkale(Ayvacık)-1160,34549
Çanakkale(Bayramiç)-1180,28952
Çanakkale(Biga)-1190,92180
Çanakkale(Bozcaada)-1205,3120
Çanakkale(Çan)-1229,47954
Çanakkale(Eceabat)-1293,8684
Çanakkale(Ezine)-1326,31848
Çanakkale(Gelibolu)-1340,43984
Çanakkale(Gökçeada)-1408,10348
Çanakkale(Lapseki)-1503,29336
Çanakkale(Merkez)-1230,197841
Çanakkale(Yenice)-1722,30587
Çankırı(Atkaracalar)-1765,4560
Çankırı(Bayramören)-1885,2459
Çankırı(Çerkeş)-1248,16526
Çankırı(Eldivan)-1300,6163
Çankırı(Ilgaz)-1399,13821
Çankırı(Kızılırmak)-1817,6986
Çankırı(Korgun)-1963,4276
Çankırı(Kurşunlu)-1494,8484
Çankırı(Merkez)-1232,100596
Çankırı(Orta)-1555,12614
Çankırı(Şabanözü)-1649,11745
Çankırı(Yapraklı)-1718,7536
Çorum(Alaca)-1124,29929
Çorum(Bayat)-1177,14615
Çorum(Boğazkale)-1778,3584
Çorum(Dodurga)-1911,5265
Çorum(İskilip)-1414,29643
Çorum(Kargı)-1445,15464
Çorum(Laçin)-1972,4211
Çorum(Mecitözü)-1520,13840
Çorum(Merkez)-1259,299061
Çorum(Oğuzlar)-1976,4896
