İlçe,Nüfus
Muş(Hasköy)-1801,25621
Muş(Korkut)-1964,23106
Muş(Malazgirt)-1510,45371
Muş(Merkez)-1534,200246
Muş(Varto)-1711,30267
Nevşehir(Acıgöl)-1749,19005
Nevşehir(Avanos)-1155,32477
Nevşehir(Derinkuyu)-1274,20676
Nevşehir(Gülşehir)-1367,21396
Nevşehir(Hacıbektaş)-1374,10884
Nevşehir(Kozaklı)-1485,12910
Nevşehir(Merkez)-1543,155968
Nevşehir(Ürgüp)-1707,36695
Niğde(Altunhisar)-1876,11558
Niğde(Bor)-1201,60948
Niğde(Çamardı)-1225,11495
Niğde(Çiftlik)-1904,25642
Niğde(Merkez)-1544,236793
Niğde(Ulukışla)-1700,18983
Ordu(Akkuş)-1119,21258
Ordu(Altınordu)-2103,235096
Ordu(Aybastı)-1158,20969
Ordu(Çamaş)-1891,8211
Ordu(Çatalpınar)-1897,13025
Ordu(Çaybaşı)-1900,11889
Ordu(Fatsa)-1328,126775
Ordu(Gölköy)-1358,25960
Ordu(Gülyalı)-1795,8425
Ordu(Gürgentepe)-1797,12617
Ordu(İkizce)-1947,13276
Ordu(Kabadüz)-1950,7055
Ordu(Kabataş)-1951,10119
Ordu(Korgan)-1482,27349
Ordu(Kumru)-1493,28436
Ordu(Mesudiye)-1525,13221
Ordu(Perşembe)-1573,30101
Ordu(Ulubey)-1696,16976
Ordu(Ünye)-1706,132432
Osmaniye(Bahçe)-1165,22904
Osmaniye(Düziçi)-1743,85448
Osmaniye(Hasanbeyli)-2027,4816
Osmaniye(Kadirli)-1423,127004
Osmaniye(Merkez)-1560,285430
Osmaniye(Sumbas)-2028,13129
Osmaniye(Toprakkale)-2029,20674
Rize(Ardeşen)-1146,42572
Rize(Çamlıhemşin)-1228,6911
Rize(Çayeli)-1241,42865
Rize(Derepazarı)-1908,6847
Rize(Fındıklı)-1332,16448
Rize(Güneysu)-1796,14952
Rize(Hemşin)-1943,2356
Rize(İkizdere)-1405,6176
Rize(İyidere)-1949,8446
Rize(Kalkandere)-1428,12903
Rize(Merkez)-1586,152056
Rize(Pazar)-1569,31484
Sakarya(Adapazarı)-2068,281489
Sakarya(Akyazı)-1123,94494
Sakarya(Arifiye)-2069,49340
Sakarya(Erenler)-2070,92249
Sakarya(Ferizli)-1925,30741
Sakarya(Geyve)-1351,50799
Sakarya(Hendek)-1391,90153
Sakarya(Karapürçek)-1955,13339
Sakarya(Karasu)-1442,70600
Sakarya(Kaynarca)-1453,24483
Sakarya(Kocaali)-1818,22882
Sakarya(Pamukova)-1833,30482
Sakarya(Sapanca)-1595,44712
Sakarya(Serdivan)-2071,162699
Sakarya(Söğütlü)-1986,14724
Sakarya(Taraklı)-1847,6894
Samsun(19 Mayıs)-1830,26989
Samsun(Alaçam)-1125,24647
Samsun(Asarcık)-1763,16001
Samsun(Atakum)-2072,242171
Samsun(Ayvacık)-1879,18928
Samsun(Bafra)-1164,142190
Samsun(Canik)-2073,100641
Samsun(Çarşamba)-1234,140664
Samsun(Havza)-1386,38492
Samsun(İlkadım)-2074,333518
Samsun(Kavak)-1452,22747
Samsun(Ladik)-1501,16072
Samsun(Salıpazarı)-1838,19017
Samsun(Tekkeköy)-1849,56318
Samsun(Terme)-1676,71092
Samsun(Vezirköprü)-1712,90308
Samsun(Yakakent)-1993,8693
Şanlıurfa(Akçakale)-1115,123721
Şanlıurfa(Birecik)-1194,93613
Şanlıurfa(Bozova)-1209,52680
Şanlıurfa(Ceylanpınar)-1220,90440
Şanlıurfa(Eyyübiye)-2091,391795
Şanlıurfa(Halfeti)-1378,41662
Şanlıurfa(Haliliye)-2092,396656
Şanlıurfa(Harran)-1800,96072
Şanlıurfa(Hilvan)-1393,42218
Şanlıurfa(Karaköprü)-2093,265035
Şanlıurfa(Siverek)-1630,267942
Şanlıurfa(Suruç)-1643,100961
Şanlıurfa(Viranşehir)-1713,207315
Siirt(Baykan)-1179,24252
Siirt(Eruh)-1317,17938
Siirt(Kurtalan)-1495,60289
Siirt(Merkez)-1620,174467
Siirt(Pervari)-1575,29440
Siirt(Şirvan)-1662,20877
Siirt(Tillo)-1878,4048
Sinop(Ayancık)-1156,23923
Sinop(Boyabat)-1204,44502
Sinop(Dikmen)-1910,4711
Sinop(Durağan)-1290,16832
Sinop(Erfelek)-1314,12363
Sinop(Gerze)-1349,27967
Sinop(Merkez)-1627,68972
Sinop(Saraydüzü)-1981,5523
Sinop(Türkeli)-1693,16006
Şırnak(Beytüşşebap)-1189,16044
Şırnak(Cizre)-1223,159754
Şırnak(Güçlükonak)-1931,12120
Şırnak(İdil)-1403,76502
Şırnak(Merkez)-1661,102553
Şırnak(Silopi)-1623,144830
Şırnak(Uludere)-1698,45802
Sivas(Akıncılar)-1870,4808
Sivas(Altınyayla)-1875,8738
Sivas(Divriği)-1282,16082
Sivas(Doğanşar)-1913,2704
Sivas(Gemerek)-1342,21276
Sivas(Gölova)-1927,3246
Sivas(Gürün)-1373,18009
Sivas(Hafik)-1376,9569
Sivas(İmranlı)-1407,7002
Sivas(Kangal)-1431,19667
Sivas(Koyulhisar)-1484,12183
Sivas(Merkez)-1628,390318
Sivas(Şarkışla)-1650,37409
Sivas(Suşehri)-1646,25499
Sivas(Ulaş)-1991,7933
Sivas(Yıldızeli)-1731,28972
Sivas(Zara)-1738,21509
Tekirdağ(Çerkezköy)-1250,206829
Tekirdağ(Çorlu)-1258,290155
Tekirdağ(Ergene)-2094,67038
Tekirdağ(Hayrabolu)-1388,30521
Tekirdağ(Kapaklı)-2095,137514
Tekirdağ(Malkara)-1511,50988
Tekirdağ(Marmaraereğlisi)-1825,29549
Tekirdağ(Muratlı)-1538,30067
Tekirdağ(Saray)-1596,50766
Tekirdağ(Şarköy)-1652,33466
Tekirdağ(Süleymanpaşa)-2096,215558
Tokat(Almus)-1129,22126
Tokat(Artova)-1151,7420
Tokat(Başçiftlik)-1883,6097
Tokat(Erbaa)-1308,100382
Tokat(Merkez)-1679,206621
Tokat(Niksar)-1545,62052
Tokat(Pazar)-1834,12843
Tokat(Reşadiye)-1584,32600
Tokat(Sulusaray)-1987,6533
Tokat(Turhal)-1690,78129
Tokat(Yeşilyurt)-1858,8336
Tokat(Zile)-1740,53315
Trabzon(Akçaabat)-1113,129290
Trabzon(Araklı)-1141,48581
Trabzon(Arsin)-1150,30911
Trabzon(Beşikdüzü)-1775,23774
Trabzon(Çarşıbaşı)-1896,15227
Trabzon(Çaykara)-1244,13070
Trabzon(Dernekpazarı)-1909,3761
Trabzon(Düzköy)-1917,13312
Trabzon(Hayrat)-1942,7667
Trabzon(Köprübaşı)-1966,4318
Trabzon(Maçka)-1507,24709
Trabzon(Of)-1548,43591
Trabzon(Ortahisar)-2097,335628
Trabzon(Şalpazarı)-1842,10434
Trabzon(Sürmene)-1647,25950
Trabzon(Tonya)-1681,13457
Trabzon(Vakfıkebir)-1709,27060
Trabzon(Yomra)-1732,47283
Tunceli(Çemişgezek)-1247,7312
Tunceli(Hozat)-1397,5260
Tunceli(Mazgirt)-1518,7193
Tunceli(Merkez)-1688,40794
Tunceli(Nazımiye)-1541,3079
Tunceli(Ovacık)-1562,6407
Tunceli(Pertek)-1574,10823
Tunceli(Pülümür)-1581,3498
Uşak(Banaz)-1170,35181
Uşak(Eşme)-1323,34312
Uşak(Karahallı)-1436,9664
Uşak(Merkez)-1704,264540
Uşak(Sivaslı)-1629,19733
Uşak(Ulubey)-1697,12024
Van(Bahçesaray)-1770,13495
Van(Başkale)-1175,44168
Van(Çaldıran)-1786,58635
Van(Çatak)-1236,18462
Van(Edremit)-1918,127819
Van(Erciş)-1309,171000
Van(Gevaş)-1350,26918
Van(Gürpınar)-1372,31865
Van(İpekyolu)-2098,348046
Van(Muradiye)-1533,45718
Van(Özalp)-1565,59851
Van(Saray)-1980,19471
Van(Tuşba)-2099,163301
Yalova(Altınova)-2019,32207
Yalova(Armutlu)-2020,10843
Yalova(Çiftlikköy)-2022,50974
Yalova(Çınarcık)-2021,38600
Yalova(Merkez)-1716,156732
Yalova(Termal)-2026,6977
Yozgat(Akdağmadeni)-1117,41577
Yozgat(Aydıncık)-1877,11552
Yozgat(Boğazlıyan)-1198,33892
Yozgat(Çandır)-1895,4227
Yozgat(Çayıralan)-1242,12109
Yozgat(Çekerek)-1245,18245
Yozgat(Kadışehri)-1952,10004
Yozgat(Merkez)-1733,109197
Yozgat(Saraykent)-1982,11966
Yozgat(Sarıkaya)-1602,32175
Yozgat(Şefaatli)-1655,14129
Yozgat(Sorgun)-1635,79977
Yozgat(Yenifakılı)-1998,5178
Yozgat(Yerköy)-1726,34214
Zonguldak(Alaplı)-1758,42720
Zonguldak(Çaycuma)-1240,90583
Zonguldak(Devrek)-1276,57069
Zonguldak(Ereğli)-1313,175309
Zonguldak(Gökçebey)-1926,21165
Zonguldak(Kilimli)-2100,33121
Zonguldak(Kozlu)-2101,49767
Zonguldak(Merkez)-1741,118776
